,election_year,election_type,Candidate Name,CanNameLast,CanNameFirst,Party,Office,District,Candidate_expenditure,Race_expenditure,Won_general,Place_general,VoteShare_general,TotalCanVotes_general,RaceVoterPool_general,Won_primary,Place_primary,VoteShare_primary,TotalCanVotes_primary,RaceVoterPool_primary,Won_runoff,Place_runoff,VoteShare_runoff,TotalCanVotes_runoff,RaceVoterPool_runoff
1203,2020,General,"Madsen, Danielle ",Madsen,Danielle ,REP,STR,88,32991.82,180959.0,0.0,3.0,0.22730864676768658,16396.0,72131.0,,,,,,,,,,
1331,2020,General,"Anderson, Rubin ",Anderson,Rubin ,NPA,STR,88,6222.78,180959.0,0.0,4.0,0.03447893416145624,2487.0,72131.0,,,,,,,,,,
1095,2020,General,"Hardy, Omari ",Hardy,Omari ,DEM,STR,88,122779.51,180959.0,1.0,1.0,0.7382124190708572,53248.0,72131.0,1.0,1.0,0.43222093199373957,8561.0,19807.0,,,,,
1312,2020,General,"Thomas, Cedrick A.",Thomas,Cedrick A.,DEM,STR,88,8650.0,180959.0,0.0,2.0,0.4623044096728307,39000.0,84360.0,1.0,2.0,0.598193625438531,8014.0,13397.0,,,,,
1325,2020,General,"Osta, Sienna ",Osta,Sienna ,DEM,STR,88,6844.87,180959.0,,,,,,0.0,3.0,0.08067854798808502,1598.0,19807.0,,,,,
1363,2020,General,"Louis Jeune, Philippe ""Bob""",Louis Jeune,"Philippe ""Bob""",DEM,STR,88,3470.02,180959.0,,,,,,0.0,4.0,0.031352552128035546,621.0,19807.0,,,,,
960,2020,General,"Caruso, Mike ",Caruso,Mike ,REP,STR,89,393895.5,731644.89,1.0,1.0,0.5553324079269913,56409.0,101577.0,,,,,,,,,,
972,2020,General,"Bonfiglio, Jim ",Bonfiglio,Jim ,DEM,STR,89,337749.39,731644.89,0.0,2.0,0.44466759207300866,45168.0,101577.0,,,,,,,,,,
1284,2020,General,"Maldonado, Lydia ",Maldonado,Lydia ,REP,STR,90,12227.89,92858.49,0.0,2.0,0.4041832057595851,35537.0,87923.0,,,,,,,,,,
1139,2020,General,"Casello, Joseph A.",Casello,Joseph A.,DEM,STR,90,80630.6,92858.49,1.0,1.0,0.5958167942404149,52386.0,87923.0,,,,,,,,,,
1195,2020,General,"Hussain, Sayd ",Hussain,Sayd ,REP,STR,91,35624.06,79381.37,0.0,2.0,0.36289507189934095,38763.0,106816.0,,,,,,,,,,
1182,2020,General,"Slosberg, Emily Ann",Slosberg,Emily Ann,DEM,STR,91,43757.31,79381.37,1.0,1.0,0.6371049281006591,68053.0,106816.0,,,,,,,,,,
1396,2020,General,"St. Clair, Nancy ",St. Clair,Nancy ,NPA,STR,92,1404.88,39854.88,0.0,2.0,0.18833735097817353,11485.0,60981.0,,,,,,,,,,
1190,2020,General,"Hawkins-Williams, Patricia ",Hawkins-Williams,Patricia ,DEM,STR,92,38450.0,39854.88,1.0,1.0,0.8116626490218265,49496.0,60981.0,,,,,,,,,,
948,2020,General,"LaMarca, Chip ",LaMarca,Chip ,REP,STR,93,493774.4,856920.87,1.0,1.0,0.5523818196535535,54593.0,98832.0,,,,,,,,,,
965,2020,General,"Gonzalez, Linda Thompson",Gonzalez,Linda Thompson,DEM,STR,93,363146.47,856920.87,0.0,2.0,0.4476181803464465,44239.0,98832.0,,,,,,,,,,
1421,2020,General,"Muller, Marlin S.",Muller,Marlin S.,REP,STR,94,-2100.0,173169.6,,,,,,,,,,,,,,,
1081,2020,General,"DuBose, Bobby ",DuBose,Bobby ,DEM,STR,94,141147.0,173169.6,,,,,,1.0,1.0,0.6987992904898349,20486.0,29316.0,,,,,
1198,2020,General,"Manley, Elijah ",Manley,Elijah ,DEM,STR,94,34122.6,173169.6,,,,,,0.0,2.0,0.3012007095101651,8830.0,29316.0,,,,,
1112,2020,General,"Rogers-Shaw, Jasmen ",Rogers-Shaw,Jasmen ,DEM,STR,95,103981.14,149385.01,,,,,,0.0,2.0,0.49131998748827027,12566.0,25576.0,,,,,
1179,2020,General,"Omphroy, Anika ",Omphroy,Anika ,DEM,STR,95,45403.87,149385.01,,,,,,1.0,1.0,0.5086800125117298,13010.0,25576.0,,,,,
1085,2020,General,"Hunschofsky, Christine ",Hunschofsky,Christine ,DEM,STR,96,135732.01,178097.41,,,,,,1.0,1.0,0.7195148842337376,13052.0,18140.0,,,,,
1202,2020,General,"Jacobs, Kristin D.",Jacobs,Kristin D.,DEM,STR,96,33000.0,178097.41,,,,,,,,,,,,,,,
1309,2020,General,"Farooqui, Saima ",Farooqui,Saima ,DEM,STR,96,9365.4,178097.41,,,,,,0.0,2.0,0.2804851157662624,5088.0,18140.0,,,,,
1140,2020,General,"Daley, Dan ",Daley,Dan ,DEM,STR,97,79341.08,79501.08,,,,,,,,,,,,,,,
1413,2020,General,"Qureshi, Muhammad Noman Azam",Qureshi,Muhammad Noman Azam,DEM,STR,97,160.0,79501.08,,,,,,,,,,,,,,,
1196,2020,General,"Gottlieb, Michael ",Gottlieb,Michael ,DEM,STR,98,34550.0,34550.0,,,,,,,,,,,,,,,
1155,2020,General,"Jenne, Evan ",Jenne,Evan ,DEM,STR,99,65150.0,65150.0,,,,,,,,,,,,,,,
1157,2020,General,"Geller, Joseph ""Joe""",Geller,"Joseph ""Joe""",DEM,STR,100,61491.72,61491.72,,,,,,,,,,,,,,,
1322,2020,General,"Parlatore, Vincent ""Vinny""",Parlatore,"Vincent ""Vinny""",REP,STR,101,7078.4,327882.44,0.0,3.0,0.25933744957126537,17935.0,69157.0,,,,,,,,,,
1075,2020,General,"Woodson, Marie ",Woodson,Marie ,DEM,STR,101,147606.66,327882.44,1.0,1.0,0.7406625504287346,51222.0,69157.0,1.0,1.0,0.3715677844654629,6482.0,17445.0,,,,,
1088,2020,General,"Johnson, Brian C.",Johnson,Brian C.,DEM,STR,101,133387.85,327882.44,0.0,2.0,0.3885800279891877,40539.0,104326.0,0.0,2.0,0.32639724849527085,5694.0,17445.0,,,,,
1186,2020,General,"Mohammed, Ashira A.",Mohammed,Ashira A.,DEM,STR,101,39809.53,327882.44,,,,,,0.0,3.0,0.30203496703926624,5269.0,17445.0,,,,,
1142,2020,General,"Robinson, Felicia Simone",Robinson,Felicia Simone,DEM,STR,102,76591.71,150857.80000000002,,,,,,1.0,1.0,0.47003347611677043,13058.0,27781.0,,,,,
1173,2020,General,"Williams, David ",Williams,David ,DEM,STR,102,50248.0,150857.80000000002,0.0,1.0,0.42508985710528624,38792.0,91256.0,0.0,2.0,0.2229581368561247,6194.0,27781.0,,,,,
1245,2020,General,"Tisdol, Matthew ",Tisdol,Matthew ,DEM,STR,102,18879.93,150857.80000000002,,,,,,0.0,3.0,0.20881177783377128,5801.0,27781.0,,,,,
1342,2020,General,"Hinds, Dennis ",Hinds,Dennis ,DEM,STR,102,5138.16,150857.80000000002,,,,,,0.0,4.0,0.09819660919333358,2728.0,27781.0,,,,,
1080,2020,General,"Fabricio, Tom ",Fabricio,Tom ,REP,STR,103,141153.79,353061.92000000004,1.0,2.0,0.5417272538429581,41726.0,77024.0,1.0,1.0,0.6030501557297819,5615.0,9311.0,,,,,
1199,2020,General,"Rodriguez, Nelson ",Rodriguez,Nelson ,REP,STR,103,33700.0,353061.92000000004,1.0,1.0,0.6006413040701091,47017.0,78278.0,0.0,2.0,0.396949844270218,3696.0,9311.0,,,,,
1049,2020,General,"Polo, Cindy ",Polo,Cindy ,DEM,STR,103,178208.13,353061.92000000004,0.0,3.0,0.45827274615704194,35298.0,77024.0,,,,,,,,,,
1351,2020,General,"Navarini, George ",Navarini,George ,REP,STR,104,4025.18,167570.38,0.0,2.0,0.42057959127879163,36921.0,87786.0,,,,,,,,,,
1072,2020,General,"Bartleman, Robin ",Bartleman,Robin ,DEM,STR,104,152304.2,167570.38,1.0,1.0,0.5794204087212084,50865.0,87786.0,1.0,1.0,0.7017281177865119,11248.0,16029.0,,,,,
1288,2020,General,"Wright, Morey ",Wright,Morey ,DEM,STR,104,11241.0,167570.38,,,,,,0.0,2.0,0.29827188221348805,4781.0,16029.0,,,,,
968,2020,General,"Borrero, David ",Borrero,David ,REP,STR,105,352302.0,904019.05,1.0,1.0,0.5368071170202365,38437.0,71603.0,1.0,1.0,0.4137353433835846,4199.0,10149.0,,,,,
1031,2020,General,"Potestad, Bibiana ",Potestad,Bibiana ,REP,STR,105,203064.2,904019.05,,,,,,0.0,2.0,0.375406443984629,3810.0,10149.0,,,,,
1254,2020,General,"Barrios, Pedro ",Barrios,Pedro ,REP,STR,105,17184.36,904019.05,,,,,,0.0,3.0,0.2108582126317864,2140.0,10149.0,,,,,
1400,2020,General,"Sotelo, Daniel Enrique",Sotelo,Daniel Enrique,REP,STR,105,1200.0,904019.05,,,,,,,,,,,,,,,
987,2020,General,"Porras, Maureen ",Porras,Maureen ,DEM,STR,105,285383.9,904019.05,0.0,2.0,0.4631928829797634,33166.0,71603.0,1.0,1.0,0.640373831775701,5139.0,8025.0,,,,,
1181,2020,General,"Estevez, Javier ",Estevez,Javier ,DEM,STR,105,44884.59,904019.05,,,,,,0.0,2.0,0.35962616822429905,2886.0,8025.0,,,,,
1017,2020,General,"Rommel, Bob ",Rommel,Bob ,REP,STR,106,232035.4,316000.04,1.0,1.0,0.6592976787688122,69786.0,105849.0,,,,,,,,,,
1136,2020,General,"McFadden, Sara ",McFadden,Sara ,DEM,STR,106,83964.64,316000.04,0.0,2.0,0.3407023212311878,36063.0,105849.0,,,,,,,,,,
1156,2020,General,"Benjamin, Christopher ",Benjamin,Christopher ,DEM,STR,107,63330.15,105473.57,,,,,,1.0,1.0,0.6059068671860844,13376.0,22076.0,,,,,
1246,2020,General,"Harvard, Ulysses ""Buck""",Harvard,"Ulysses ""Buck""",DEM,STR,107,18752.7,105473.57,,,,,,0.0,2.0,0.39409313281391556,8700.0,22076.0,,,,,
1269,2020,General,"Etienne, Michael A.",Etienne,Michael A.,DEM,STR,107,14623.75,105473.57,,,,,,,,,,,,,,,
1311,2020,General,"Campbell, Hubert A.",Campbell,Hubert A.,DEM,STR,107,8766.97,105473.57,,,,,,,,,,,,,,,
1029,2020,General,"Joseph, Dotie ",Joseph,Dotie ,DEM,STR,108,203836.03,222780.93,,,,,,1.0,1.0,0.5745407945322512,13450.0,23410.0,,,,,
1283,2020,General,"Bossous, Georges ",Bossous,Georges ,DEM,STR,108,12531.13,222780.93,,,,,,0.0,3.0,0.1160615121742845,2717.0,23410.0,,,,,
1330,2020,General,"Hardemon, Roy ",Hardemon,Roy ,DEM,STR,108,6413.77,222780.93,,,,,,0.0,2.0,0.30939769329346434,7243.0,23410.0,,,,,
1240,2020,General,"Jackson, Demetrius ",Jackson,Demetrius ,DEM,STR,109,20034.0,35330.32,,,,,,,,,,,,,,,
1305,2020,General,"Bush, James ",Bush,James ,DEM,STR,109,9620.0,35330.32,,,,,,,,,,,,,,,
1335,2020,General,"Williams, Nashira Amina",Williams,Nashira Amina,DEM,STR,109,5676.32,35330.32,0.0,1.0,0.42508985710528624,38792.0,91256.0,0.0,1.0,0.2229581368561247,6194.0,27781.0,,,,,
1044,2020,General,"Rizo, Alex ",Rizo,Alex ,REP,STR,110,185118.0,411038.76,1.0,1.0,0.5977966756861229,34023.0,56914.0,,,,,,,,,,
1019,2020,General,"Collazo, Annette ",Collazo,Annette ,DEM,STR,110,225920.76,411038.76,0.0,2.0,0.40220332431387706,22891.0,56914.0,,,,,,,,,,
1050,2020,General,"Avila, Bryan ",Avila,Bryan ,REP,STR,111,177487.1,181075.02000000002,1.0,1.0,0.6487302539492101,32443.0,50010.0,,,,,,,,,,
1368,2020,General,"Hancock, Ross Elde",Hancock,Ross Elde,DEM,STR,111,2986.92,181075.02000000002,0.0,2.0,0.35126974605078987,17567.0,50010.0,,,,,,,,,,
1406,2020,General,"Ahmed, Rizwan ",Ahmed,Rizwan ,DEM,STR,111,601.0,181075.02000000002,,,,,,,,,,,,,,,
1137,2020,General,"Barreiro, Bruno A.",Barreiro,Bruno A.,REP,STR,112,81725.0,334075.6,0.0,2.0,0.46991187911826193,35515.0,75578.0,1.0,1.0,0.6377020488005766,6194.0,9713.0,,,,,
1380,2020,General,"Palomino, Rosa Maria ""Rosy""",Palomino,"Rosa Maria ""Rosy""",REP,STR,112,2068.0,334075.6,,,,,,0.0,2.0,0.36229795119942343,3519.0,9713.0,,,,,
1004,2020,General,"Duran, Nicholas Xavier",Duran,Nicholas Xavier,DEM,STR,112,250282.6,334075.6,1.0,1.0,0.5300881208817381,40063.0,75578.0,,,,,,,,,,
1148,2020,General,"Grieco, Michael ",Grieco,Michael ,DEM,STR,113,73072.0,73072.0,,,,,,,,,,,,,,,
1024,2020,General,"Cabrera, Demi Busatta",Cabrera,Demi Busatta,REP,STR,114,214514.0,467658.4,1.0,1.0,0.5438737058227024,43443.0,79877.0,,,,,,,,,,
1032,2020,General,"Bado, Jean-Pierre ",Bado,Jean-Pierre ,DEM,STR,114,202404.66,467658.4,0.0,2.0,0.4561262941772976,36434.0,79877.0,1.0,1.0,0.5115182436611008,6617.0,12936.0,,,,,
1183,2020,General,"Loyzelle, Sue ""Susi""",Loyzelle,"Sue ""Susi""",DEM,STR,114,40798.7,467658.4,,,,,,0.0,2.0,0.4884817563388992,6319.0,12936.0,,,,,
1299,2020,General,"Hepburn, Michael A.",Hepburn,Michael A.,DEM,STR,114,9941.04,467658.4,,,,,,,,,,,,,,,
952,2020,General,"Aloupis, Vance ",Aloupis,Vance ,REP,STR,115,468847.91,726924.1599999999,1.0,1.0,0.5731231014031535,47544.0,82956.0,,,,,,,,,,
999,2020,General,"Cesti-Browne, Franccesca ",Cesti-Browne,Franccesca ,DEM,STR,115,258076.25,726924.1599999999,0.0,2.0,0.4268768985968465,35412.0,82956.0,,,,,,,,,,
938,2020,General,"Perez, Daniel A.",Perez,Daniel A.,REP,STR,116,632733.72,724661.27,1.0,1.0,0.627792999652684,48804.0,77739.0,1.0,1.0,0.5877041306436119,9177.0,15615.0,,,,,
1268,2020,General,"Garcia, Gabriel ",Garcia,Gabriel ,REP,STR,116,14700.0,724661.27,,,,,,0.0,2.0,0.41229586935638807,6438.0,15615.0,,,,,
1147,2020,General,"Lynch, Bob ",Lynch,Bob ,DEM,STR,116,73227.44,724661.27,0.0,2.0,0.3720655012284696,28924.0,77739.0,,,,,,,,,,
1352,2020,General,"De Jesus, Gabriela Maria",De Jesus,Gabriela Maria,DEM,STR,116,4000.11,724661.27,,,,,,,,,,,,,,,
1171,2020,General,"Chambliss, Kevin ",Chambliss,Kevin ,DEM,STR,117,51708.4,62912.33,,,,,,1.0,1.0,0.3761323155216285,7391.0,19650.0,,,,,
1324,2020,General,"Laguerre Hylton, Jessica ",Laguerre Hylton,Jessica ,DEM,STR,117,6860.29,62912.33,,,,,,0.0,2.0,0.3648854961832061,7170.0,19650.0,,,,,
1350,2020,General,"Ford, Harold ",Ford,Harold ,DEM,STR,117,4131.47,62912.33,,,,,,0.0,3.0,0.2589821882951654,5089.0,19650.0,,,,,
1411,2020,General,"Burnside, Denzel D.",Burnside,Denzel D.,DEM,STR,117,212.17,62912.33,,,,,,,,,,,,,,,
953,2020,General,"Rodriguez, Anthony ",Rodriguez,Anthony ,REP,STR,118,448003.0,714000.8,1.0,1.0,0.6006413040701091,47017.0,78278.0,0.0,1.0,0.396949844270218,3696.0,9311.0,,,,,
996,2020,General,"Junquera, Ricky ",Junquera,Ricky ,DEM,STR,118,265997.8,714000.8,0.0,2.0,0.39935869592989093,31261.0,78278.0,,,,,,,,,,
1001,2020,General,"Fernandez-Barquin, Juan ",Fernandez-Barquin,Juan ,REP,STR,119,257313.42,281442.96,1.0,1.0,0.6531771844348173,50810.0,77789.0,,,,,,,,,,
1225,2020,General,"Mohammad, Imtiaz Ahmad",Mohammad,Imtiaz Ahmad,DEM,STR,119,24129.54,281442.96,0.0,2.0,0.34682281556518274,26979.0,77789.0,,,,,,,,,,
985,2020,General,"Rebman Lopez, Rhonda ",Rebman Lopez,Rhonda ,REP,STR,120,291007.0,841896.75,,,,,,0.0,2.0,0.34300417661097854,4599.0,13408.0,,,,,
991,2020,General,"Mooney, James ""Jim"" Vernon",Mooney,"James ""Jim"" Vernon",REP,STR,120,280059.0,841896.75,1.0,1.0,0.5497569895577691,45698.0,83124.0,1.0,1.0,0.35404236276849643,4747.0,13408.0,,,,,
1168,2020,General,"Suarez, Alexandria ",Suarez,Alexandria ,REP,STR,120,54924.47,841896.75,,,,,,0.0,3.0,0.3029534606205251,4062.0,13408.0,,,,,
1023,2020,General,"Barras, Clint ",Barras,Clint ,DEM,STR,120,215906.28,841896.75,0.0,2.0,0.45024301044223086,37426.0,83124.0,,,,,,,,,,
971,2020,General,"Broxson, Douglas V.",Broxson,Douglas V.,REP,STS,1,338485.98,344174.23,1.0,1.0,0.6532364061778728,185380.0,283787.0,,,,,,,,,,
1334,2020,General,"Butler, Karen M.",Butler,Karen M.,DEM,STS,1,5688.25,344174.23,0.0,2.0,0.3467635938221272,98407.0,283787.0,,,,,,,,,,
1074,2020,General,"Preston, Marva Harris",Preston,Marva Harris,REP,STS,3,147723.6,1002836.23,0.0,2.0,0.46618693872800976,120176.0,257785.0,1.0,1.0,0.7873900293255132,31683.0,40238.0,,,,,
1391,2020,General,"Horbowy, Benjamin Alexander Thaddeus John",Horbowy,Benjamin Alexander Thaddeus John,REP,STS,3,1835.2,1002836.23,,,,,,0.0,2.0,0.2126099706744868,8555.0,40238.0,,,,,
936,2020,General,"Ausley, Loranne ",Ausley,Loranne ,DEM,STS,3,700913.45,1002836.23,1.0,1.0,0.5338130612719902,137609.0,257785.0,,,,,,,,,,
1071,2020,General,"Maddox, Scott Charles",Maddox,Scott Charles,DEM,STS,3,152363.98,1002836.23,,,,,,,,,,,,,,,
940,2020,General,"Bradley, Jennifer ",Bradley,Jennifer ,REP,STS,5,595545.0,720396.36,1.0,1.0,0.7475882140079918,194198.0,259766.0,1.0,1.0,0.5899376392536626,47395.0,80339.0,,,,,
1115,2020,General,"Holifield, Jason G.",Holifield,Jason G.,REP,STS,5,102468.31,720396.36,,,,,,0.0,2.0,0.4100623607463374,32944.0,80339.0,,,,,
1370,2020,General,"McCary, Matthew Charles",McCary,Matthew Charles,LPF,STS,5,2802.83,720396.36,,,,,,,,,,,,,,,
1274,2020,General,"Peters, Stacey L.",Peters,Stacey L.,DEM,STS,5,14306.41,720396.36,0.0,2.0,0.2524117859920082,65568.0,259766.0,,,,,,,,,,
1340,2020,General,"Barratt, Melina Rayna",Barratt,Melina Rayna,DEM,STS,5,5273.81,720396.36,,,,,,,,,,,,,,,
989,2020,General,"Hutson, Travis J.",Hutson,Travis J.,REP,STS,7,280355.6,296369.5,1.0,1.0,0.6173229215369113,212577.0,344353.0,,,,,,,,,,
1261,2020,General,"Hunter, Heather ",Hunter,Heather ,DEM,STS,7,16013.9,296369.5,0.0,2.0,0.38263932650506893,131763.0,344353.0,,,,,,,,,,
933,2020,General,"Brodeur, Jason ",Brodeur,Jason ,REP,STS,9,1025935.31,1569772.36,1.0,1.0,0.5033015563718082,141544.0,281231.0,,,,,,,,,,
1392,2020,General,"Kristowicz, Alex ",Kristowicz,Alex ,REP,STS,9,1781.82,1569772.36,,,,,,,,,,,,,,,
1399,2020,General,"Iannotti, Jestine ",Iannotti,Jestine ,NPA,STS,9,1287.88,1569772.36,0.0,3.0,0.020577390117021237,5787.0,281231.0,,,,,,,,,,
950,2020,General,"Sigman, Patricia ",Sigman,Patricia ,DEM,STS,9,476102.24,1569772.36,0.0,2.0,0.4761210535111705,133900.0,281231.0,1.0,1.0,0.5026943377455992,18191.0,36187.0,,,,,
1204,2020,General,"Carter, Alexis ",Carter,Alexis ,DEM,STS,9,32833.87,1569772.36,,,,,,0.0,2.0,0.17381932738276176,6290.0,36187.0,,,,,
1277,2020,General,"Remy, Guerdy ",Remy,Guerdy ,DEM,STS,9,13714.0,1569772.36,,,,,,0.0,4.0,0.12501727139580512,4524.0,36187.0,,,,,
1318,2020,General,"Duncan, H. Alexander",Duncan,H. Alexander,DEM,STS,9,7625.0,1569772.36,,,,,,0.0,5.0,0.06394561582888883,2314.0,36187.0,,,,,
1327,2020,General,"Miller, Justin Ryan",Miller,Justin Ryan,DEM,STS,9,6726.5,1569772.36,,,,,,,,,,,,,,,
1355,2020,General,"Ashby, Rick ",Ashby,Rick ,DEM,STS,9,3765.74,1569772.36,,,,,,0.0,3.0,0.13452344764694504,4868.0,36187.0,,,,,
1347,2020,General,"Adams, Joshua Eli",Adams,Joshua Eli,REP,STS,11,4748.17,179534.51,0.0,2.0,0.34982425773177667,79224.0,226468.0,,,,,,,,,,
1058,2020,General,"Bracy, Randolph ",Bracy,Randolph ,DEM,STS,11,163952.92,179534.51,1.0,1.0,0.6501757422682233,147244.0,226468.0,,,,,,,,,,
1292,2020,General,"Law, Charles ",Law,Charles ,DEM,STS,11,10833.42,179534.51,,,,,,,,,,,,,,,
1377,2020,General,"Anderson, Josh ",Anderson,Josh ,REP,STS,13,2345.08,99376.08,0.0,2.0,0.39354037069824493,99134.0,251903.0,,,,,,,,,,
1122,2020,General,"Stewart, Linda ",Stewart,Linda ,DEM,STS,13,97031.0,99376.08,1.0,1.0,0.606459629301755,152769.0,251903.0,,,,,,,,,,
1314,2020,General,"Minnis, Louis T.",Minnis,Louis T.,REP,STS,15,8275.0,207782.02,0.0,2.0,0.39028664691248477,123153.0,315545.0,,,,,,,,,,
1349,2020,General,"James, Mike ",James,Mike ,NPA,STS,15,4375.0,207782.02,0.0,3.0,0.03868544898508929,12207.0,315545.0,,,,,,,,,,
1040,2020,General,"Torres, Victor M.",Torres,Victor M.,DEM,STS,15,195132.02,207782.02,1.0,1.0,0.571027904102426,180185.0,315545.0,,,,,,,,,,
945,2020,General,"Mayfield, Debbie ",Mayfield,Debbie ,REP,STS,17,535203.9,547514.53,1.0,1.0,0.6060150658426164,193560.0,319398.0,,,,,,,,,,
1373,2020,General,"Snyder, Phillip ",Snyder,Phillip ,NPA,STS,17,2515.0,547514.53,0.0,3.0,0.0354510673203965,11323.0,319398.0,,,,,,,,,,
1303,2020,General,"Fretwell, Scot ",Fretwell,Scot ,DEM,STS,17,9795.63,547514.53,0.0,2.0,0.35853386683698707,114515.0,319398.0,,,,,,,,,,
1416,2020,General,"Cole, Kriztofer Dulton",Cole,Kriztofer Dulton,REP,STS,19,80.0,424678.57999999996,,,,,,,,,,,,,,,
1417,2020,General,"Valdez, Yolanda ",Valdez,Yolanda ,REP,STS,19,12.0,424678.57999999996,,,,,,,,,,,,,,,
1165,2020,General,"Paylan, Christina ",Paylan,Christina ,NPA,STS,19,56177.42,424678.57999999996,0.0,2.0,0.3130855850531508,79463.0,253806.0,,,,,,,,,,
964,2020,General,"Rouson, Darryl Ervin",Rouson,Darryl Ervin,DEM,STS,19,368409.16,424678.57999999996,1.0,1.0,0.6869144149468491,174343.0,253806.0,,,,,,,,,,
956,2020,General,"Boyd, Jim ",Boyd,Jim ,REP,STS,20,422900.0,422900.0,1.0,1.0,0.6101262760502049,191673.0,314153.0,1.0,1.0,0.9012511820760893,49558.0,54988.0,,,,,
1375,2020,General,"Houman, John Manners",Houman,John Manners,REP,STS,21,2500.0,60369.51,,,,,,0.0,1.0,0.09874881792391067,5430.0,54988.0,,,,,
1208,2020,General,"Linton, Amanda V.",Linton,Amanda V.,DEM,STS,21,29191.18,60369.51,,,,,,,,,,,,,,,
1216,2020,General,"Eldon, Anthony ""Tony""",Eldon,"Anthony ""Tony""",DEM,STS,21,25843.33,60369.51,0.0,1.0,0.38987372394979514,122480.0,314153.0,,,,,,,,,,
1369,2020,General,"Frie, Timothy ",Frie,Timothy ,DEM,STS,21,2835.0,60369.51,,,,,,,,,,,,,,,
969,2020,General,"Gruters, Joe ",Gruters,Joe ,REP,STS,23,346572.66,431539.56999999995,1.0,1.0,0.5765200896072176,188126.0,326313.0,,,,,,,,,,
1138,2020,General,"Steube, W. Greg",Steube,W. Greg,REP,STS,23,81680.0,431539.56999999995,,,,,,,,,,,,,,,
1398,2020,General,"Kaplan, Robert ",Kaplan,Robert ,NPA,STS,23,1317.0,431539.56999999995,0.0,3.0,0.020520175414402736,6696.0,326313.0,,,,,,,,,,
1387,2020,General,"Norman, Katherine ",Norman,Katherine ,DEM,STS,23,1969.91,431539.56999999995,0.0,2.0,0.40295973497837967,131491.0,326313.0,,,,,,,,,,
947,2020,General,"Harrell, Gayle ",Harrell,Gayle ,REP,STS,25,518317.0,549189.67,1.0,1.0,0.5870704290295311,168063.0,286274.0,,,,,,,,,,
1217,2020,General,"Balderramos Robinson, Corinna ",Balderramos Robinson,Corinna ,DEM,STS,25,25693.8,549189.67,0.0,2.0,0.41292957097046884,118211.0,286274.0,1.0,1.0,0.7208968875923958,29161.0,40451.0,,,,,
1341,2020,General,"Diaz, Reinaldo Daniel",Diaz,Reinaldo Daniel,DEM,STS,25,5178.87,549189.67,,,,,,0.0,2.0,0.27910311240760427,11290.0,40451.0,,,,,
939,2020,General,"Rodrigues, Ray ",Rodrigues,Ray ,REP,STS,27,615285.3,752236.13,1.0,1.0,0.6049895552341782,176954.0,292491.0,1.0,1.0,0.7484549597353143,47958.0,64076.0,,,,,
1099,2020,General,"Fitzenhagen, Heather ",Fitzenhagen,Heather ,REP,STS,27,116512.0,752236.13,,,,,,0.0,2.0,0.25154504026468566,16118.0,64076.0,,,,,
1238,2020,General,"Brown, Rachel ",Brown,Rachel ,DEM,STS,27,20438.83,752236.13,0.0,2.0,0.39501044476582187,115537.0,292491.0,,,,,,,,,,
1119,2020,General,"Norton, Brian ",Norton,Brian ,REP,STS,29,99342.58,2217171.87,0.0,2.0,0.4431575088185148,124502.0,280943.0,,,,,,,,,,
932,2020,General,"Slosberg, Irving ""Irv""",Slosberg,"Irving ""Irv""",DEM,STS,29,1599205.0,2217171.87,,,,,,0.0,2.0,0.30660724937717115,17476.0,56998.0,,,,,
959,2020,General,"Polsky, Tina ",Polsky,Tina ,DEM,STS,29,406040.27,2217171.87,1.0,1.0,0.5568424911814852,156441.0,280943.0,1.0,1.0,0.6933927506228289,39522.0,56998.0,,,,,
1106,2020,General,"Rader, Kevin ",Rader,Kevin ,DEM,STS,29,112584.02,2217171.87,,,,,,,,,,,,,,,
1234,2020,General,"Donnally, Tami ",Donnally,Tami ,REP,STS,31,22322.33,192067.81,0.0,2.0,0.3777881151745032,95019.0,251514.0,,,,,,,,,,
1073,2020,General,"Berman, Lori ",Berman,Lori ,DEM,STS,31,152245.48,192067.81,1.0,1.0,0.6222118848254968,156495.0,251514.0,,,,,,,,,,
1252,2020,General,"Slosberg, Irving ",Slosberg,Irving ,DEM,STS,31,17500.0,192067.81,,,,,,0.0,1.0,0.30660724937717115,17476.0,56998.0,,,,,
1045,2020,General,"Thurston, Perry E.",Thurston,Perry E.,DEM,STS,33,184300.0,212413.34,,,,,,1.0,1.0,0.5699538960380991,44999.0,78952.0,,,,,
1251,2020,General,"Edden, Terry Ann Williams",Edden,Terry Ann Williams,DEM,STS,33,17818.18,212413.34,,,,,,0.0,2.0,0.23881598946195157,18855.0,78952.0,,,,,
1328,2020,General,"Pooler, Shelton A.",Pooler,Shelton A.,DEM,STS,33,6603.73,212413.34,,,,,,0.0,4.0,0.0644822170432668,5091.0,78952.0,,,,,
1357,2020,General,"Meza, Steven ",Meza,Steven ,DEM,STS,33,3691.43,212413.34,,,,,,0.0,3.0,0.12674789745668255,10007.0,78952.0,,,,,
955,2020,General,"Jones, Shevrin ""Shev""",Jones,"Shevrin ""Shev""",DEM,STS,35,430768.89,696812.0,1.0,1.0,0.9968870692020345,188942.0,189532.0,1.0,1.0,0.4327971346884916,27551.0,63658.0,,,,,
